occupantID,0,0.05,0.07,0.08,0.2,0.3,0.4,1,2,2.1,3,3.1,3.2,3.3,3.4,4,4.1,5,6,7,8,9,10,11,12,13,14,14.1,14.2,14.3,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,project_id,city,state,season,building_id,work_group_id,work_group_nm,Space_id,View,C_O,P_I_C,build_name
1398,,,,,,,,6,4,,3,,,,,3,,1,1,3,1,2,4,2,3,1,1,,,,1,4,3,4,2,4,0,2,1,1,3,7,7,2,3,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_03,0501_NPS_03_01,NPS Visitor Center_1st floor,0501_NPS_03_01_OP_03,1,O,P,NPS_V
1399,,,,,,,,7,7,,7,,,,,7,,5,5,5,6,5,7,7,7,6,6,,,,4,6,4,7,5,5,0,6,1,1,2,6,6,6,6,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_03,0501_NPS_03_01,NPS Visitor Center_1st floor,0501_NPS_03_01_CP_04,1,C,P,NPS_V
1400,,,,,,,,4,3,,3,,,,,1,,2,2,4,1,4,4,4,4,1,1,,,,1,4,3,4,4,3,0,3,1,1,2,6,5,3,1,0,200501_NPS_JSH,Jacksonhole,WY,H,0501_NPS_03,0501_NPS_03_01,NPS Visitor Center_1st floor,0501_NPS_03_01_CP_05,1,C,P,NPS_V
1573,,,,,,,,6,6,,6,,,,,4,,1,1,1,6,2,7,6,6,6,6,,,,1,7,4,6,1,2,0,4,1,3,5,6,7,2,2,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OP_01,1,O,P,NPS
1574,,,,,,,,6,6,,4,,,,,6,,4,4,3,4,5,6,4,5,6,6,,,,,7,6,6,6,5,0,4,2,3,4,5,5,5,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OP_02,1,O,P,NPS
1575,,,,,,,,4,1,,1,,,,,4,,1,4,1,2,3,4,1,7,3,1,,,,1,7,4,7,2,2,0,4,1,3,3,5,7,3,1,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OP_04,1,O,P,NPS
1576,,,,,,,,7,6,,6,,,,,1,,1,1,1,1,1,7,4,4,4,6,,,,3,7,1,6,1,1,0,3,1,3,5,7,6,1,2,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OP_05,1,O,P,NPS
1577,,,,,,,,7,6,,6,,,,,6,,3,3,3,3,3,7,4,5,4,4,,,,5,3,6,7,3,5,0,1,1,2,5,7,6,5,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OI_01,,O,I,NPS
1578,,,,,,,,6,6,,6,,,,,6,,1,2,2,2,3,6,6,5,5,5,,,,3,5,5,6,2,3,0,3,2,2,2,7,7,5,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OI_02,,O,I,NPS
1579,,,,,,,,6,5,,3,,,,,6,,1,3,2,6,5,5,6,6,6,5,,,,3,6,6,6,2,5,0,1,1,3,5,3,3,2,2,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OI_03,,O,I,NPS
1580,,,,,,,,3,6,,5,,,,,4,,1,1,1,3,3,3,2,3,3,4,,,,4,4,2,3,2,2,0,2,2,3,4,5,5,3,4,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OI_04,,O,I,NPS
1581,,,,,,,,7,7,,7,,,,,,,1,1,3,2,2,7,6,6,6,6,,,,2,3,2,7,4,3,0,3,2,3,4,7,7,5,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OI_05,,O,I,NPS
1582,,,,,,,,5,4,,5,,,,,4,,3,3,3,4,2,4,5,4,4,5,,,,4,3,5,5,4,2,0,4,2,2,4,5,5,4,4,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_OC_01,,O,C,NPS
1583,,,,,,,,7,7,,5,,,,,7,,7,7,5,7,6,4,4,7,4,6,,,,5,7,7,6,6,6,0,5,2,4,4,7,7,6,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_CP_01,1,C,P,NPS
1584,,,,,,,,2,3,,3,,,,,6,,3,5,2,7,4,5,4,6,7,1,,,,6,1,4,2,4,7,0,3,1,4,5,6,6,5,4,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_CC_01,2,C,C,NPS
1585,,,,,,,,6,5,,5,,,,,4,,2,5,3,5,2,6,5,5,5,,,,,2,2,6,6,4,5,0,5,2,4,3,6,4,4,3,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_02,National Park Service_2nd floor,0510_NPS_01_02_CC_02,2,C,C,NPS
1586,,,,,,,,7,7,,3,,,,,7,,1,1,1,7,7,7,1,7,1,4,,,,1,7,6,7,1,7,0,4,1,3,4,6,6,3,3,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OP_01,1,O,P,NPS
1587,,,,,,,,7,7,,3,,,,,7,,5,5,3,7,5,5,7,7,3,3,,,,7,7,7,7,7,7,0,2,2,1,4,7,7,7,7,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OP_02,1,O,P,NPS
